suburb,sale_date,price
Mount Eden,2021-07-20,783121.79
Grey Lynn,2022-06-02,907481.31
Remuera,2023-07-08,1650557.2
Epsom,2023-06-18,971134.56
Mount Eden,2023-12-14,927996.68
Ponsonby,2023-01-06,996165.69
Grey Lynn,2022-06-11,828594.11
Grey Lynn,2026-01-08,930717.91
Remuera,2025-03-18,1800364.44
Ponsonby,2024-07-26,1462479.57
Ponsonby,2021-06-06,1336432.21
Manukau,2021-07-02,803574.02
Grey Lynn,2024-01-18,1043946.62
Manukau,2024-12-18,1004748.49
Manukau,2025-11-27,1005548.21
Albany,2024-07-08,796880.69
Albany,2021-07-02,668834.63
Ponsonby,2025-02-22,1526152.34
Remuera,2023-05-16,1527029.95
Albany,2022-01-30,751336.48
Epsom,2025-03-19,1059041.98
Mount Eden,2025-05-15,1079609.38
Remuera,2025-08-09,1814686.85
Albany,2025-01-12,664209.59
Remuera,2025-07-22,1867871.36
Manukau,2025-05-08,1263136.09
Epsom,2023-04-23,884916.68
Ponsonby,2021-07-23,1385030.34
Manukau,2021-11-08,840467.65
Grey Lynn,2022-07-19,929717.15
Remuera,2023-09-17,1795632.47
Manukau,2023-06-19,918281.41
Albany,2024-01-31,762208.81
Mount Eden,2026-01-27,912583.03
Albany,2021-11-19,631004.29
Remuera,2023-05-15,1536763.87
Remuera,2021-09-23,1724239.47
Ponsonby,2021-07-12,1432514.96
Mount Eden,2023-07-03,720500.64
Epsom,2025-02-04,1173276.34
Albany,2024-11-19,886948.68
Epsom,2021-04-20,709816.07
Albany,2023-05-10,792875.48
Grey Lynn,2022-05-21,942385.62
Mount Eden,2025-05-19,1058516.95
Grey Lynn,2022-04-29,1031241.53
Ponsonby,2022-04-03,1380372.84
Remuera,2023-02-01,1615472.6
Epsom,2021-07-09,874212.41
Grey Lynn,2026-02-15,1202177.13
Mount Eden,2025-10-24,1093405.15
Manukau,2025-08-07,1165491.93
Epsom,2022-06-29,973334.6
Mount Eden,2024-05-23,1019113.72
Grey Lynn,2022-06-16,851607.69
Manukau,2025-06-11,1277329.0
Albany,2022-06-20,696323.85
Manukau,2024-09-20,1198153.87
Epsom,2023-08-23,929586.89
Remuera,2025-10-18,1748081.98
Mount Eden,2021-08-07,670758.44
Remuera,2021-09-13,1629092.26
Epsom,2021-05-16,662313.66
Mount Eden,2025-11-16,952928.72
Ponsonby,2023-10-09,1345037.73
Grey Lynn,2023-07-06,1007395.5
Albany,2024-09-03,930394.27
Grey Lynn,2021-06-10,1124836.6
Grey Lynn,2021-12-04,930947.87
Manukau,2022-03-08,2750000.0
Grey Lynn,2022-08-27,1039519.06
Remuera,2022-09-05,1752029.95
Grey Lynn,2021-11-26,875948.99
Albany,2021-09-08,539249.71
Mount Eden,2023-11-03,1129910.61
Ponsonby,2025-04-05,1436581.36
Manukau,2023-02-05,863603.82
Albany,2022-12-06,777428.01
Mount Eden,2025-06-01,1055699.08
Epsom,2021-06-23,862568.22
Remuera,2024-05-28,1761539.7
Grey Lynn,2021-09-02,976612.98
Epsom,2021-03-15,804185.99
Ponsonby,2025-04-10,1422395.06
Mount Eden,2024-04-01,971101.63
Mount Eden,2025-04-18,1096549.71
Manukau,2024-06-07,1058209.64
Epsom,2025-03-20,1059222.07
Mount Eden,2023-04-29,890971.68
Albany,2024-10-20,814699.19
Albany,2023-04-18,803058.21
Mount Eden,2025-06-20,1080920.56
Manukau,2022-10-28,979911.02
Grey Lynn,2023-08-13,887133.2
Mount Eden,2025-04-15,1098284.21
Grey Lynn,2023-09-09,1005602.12
Mount Eden,2021-12-21,826983.44
Grey Lynn,2022-10-19,930335.89
Manukau,2024-02-04,1198559.9
Remuera,2025-03-09,1863429.31
Albany,2023-03-08,871305.77
Ponsonby,2021-09-05,1178394.64
Manukau,2021-09-22,835725.29
Ponsonby,2024-03-31,1372439.66
Remuera,2022-06-10,1636098.55
Albany,2024-10-11,821313.55
Mount Eden,2023-05-23,1039795.09
Mount Eden,2022-06-03,767612.59
Mount Eden,2021-07-14,780220.82
Grey Lynn,2024-03-08,800784.17
Ponsonby,2025-04-18,1565496.26
Remuera,2025-11-07,1803133.76
Grey Lynn,2023-07-01,898344.58
Remuera,2025-11-24,1794407.36
Mount Eden,2022-09-21,1042200.74
Epsom,2022-12-18,1086182.3
Manukau,2026-01-05,911839.59
Albany,2024-10-07,849859.49
Remuera,2023-05-09,1843173.93
Mount Eden,2022-12-27,955807.41
Epsom,2023-12-21,1030059.54
Remuera,2022-05-31,1444813.91
Remuera,2021-06-30,1558385.22
Remuera,2021-07-21,1662927.55
Ponsonby,2024-07-08,1262401.99
Ponsonby,2025-03-04,1507196.99
Mount Eden,2025-09-11,981521.72
Ponsonby,2024-11-29,1578919.55
Mount Eden,2022-05-03,902759.56
Mount Eden,2023-09-14,1003379.92
Grey Lynn,2024-09-14,1253812.6
Grey Lynn,2021-08-05,748764.36
Grey Lynn,2024-04-24,939887.56
Epsom,2022-11-14,869637.24
Ponsonby,2022-02-15,1327625.44
Manukau,2021-10-16,946391.39
Ponsonby,2024-04-26,1450831.96
Manukau,2024-12-25,1139127.64
Albany,2023-02-12,970367.37
Albany,2023-08-11,693605.15
Manukau,2021-04-07,1020624.01
Epsom,2025-04-21,1089035.66
Manukau,2024-06-06,961653.66
Mount Eden,2025-03-01,888630.74
Albany,2024-12-19,1000013.24
Mount Eden,2024-08-05,1072626.0
Mount Eden,2024-01-03,1090376.41
Grey Lynn,2025-12-12,891585.34
Albany,2022-12-21,2250000.0
Grey Lynn,2024-06-13,1183284.64
Albany,2022-02-12,741216.97
Mount Eden,2022-01-08,795451.31
Albany,2024-04-18,871297.52
Epsom,2024-05-01,776579.71
Remuera,2023-01-16,1595686.71
Epsom,2022-08-25,1047200.18
Albany,2025-01-07,858692.24
Manukau,2023-12-10,1003902.04
Grey Lynn,2024-09-26,1015163.98
Ponsonby,2021-07-06,1190442.15
Remuera,2024-01-18,1562767.12
Remuera,2023-11-05,1575416.76
Manukau,2025-05-31,848957.52
Remuera,2025-09-27,1788730.88
Grey Lynn,2021-06-29,858193.23
Remuera,2023-04-23,1608191.8
Grey Lynn,2023-10-12,958830.28
Grey Lynn,2022-10-06,936697.42
Ponsonby,2025-06-09,1482529.18
Epsom,2025-11-14,1333611.05
Mount Eden,2022-02-18,870122.96
Ponsonby,2023-08-30,1339404.05
Grey Lynn,2023-06-29,868850.87
Epsom,2022-11-08,986940.15
Mount Eden,2024-08-23,1031152.27
Grey Lynn,2023-06-04,992987.48
Albany,2022-12-21,662726.61
Remuera,2025-05-06,4500000.0
Mount Eden,2023-03-05,945926.09
Manukau,2025-11-26,1017854.48
Epsom,2024-06-18,1102158.39
Manukau,2021-10-25,927940.39
Epsom,2024-12-24,1161667.37
Manukau,2021-06-09,728654.6
Epsom,2023-06-11,943139.9
Mount Eden,2024-06-29,994951.99
Mount Eden,2024-05-08,906448.1
Manukau,2023-08-31,877301.71
Manukau,2025-04-15,1054851.31
Mount Eden,2021-02-25,924330.4
Mount Eden,2022-02-18,776307.42
Grey Lynn,2026-01-27,1126405.27
Grey Lynn,2024-07-25,948712.63
Ponsonby,2023-04-20,1349729.32
Epsom,2024-03-04,1017463.57
Remuera,2024-02-22,1830859.06
Mount Eden,2024-11-07,1192315.5
Epsom,2024-11-25,978196.23
Manukau,2026-01-05,1086664.84
Remuera,2025-01-05,1500856.35
Epsom,2021-07-18,889261.68
Remuera,2022-04-04,1545212.38
Mount Eden,2025-03-04,1171644.97
Grey Lynn,2021-10-27,887498.47
Ponsonby,2025-03-25,1370270.51
Grey Lynn,2023-06-30,996337.13
Ponsonby,2025-07-15,1377848.87
Albany,2024-01-12,940630.36
Epsom,2022-09-16,1108831.27
Manukau,2025-05-20,958258.81
Ponsonby,2021-08-12,1077473.93
Albany,2021-05-05,655959.87
Mount Eden,2025-10-18,1287723.11
Manukau,2026-01-09,1178550.79
Albany,2022-05-05,629183.41
Manukau,2025-06-26,1053108.34
Ponsonby,2024-09-01,1390539.58
Mount Eden,2022-01-19,928276.47
Grey Lynn,2021-08-31,808479.27
Manukau,2025-11-21,990707.23
Ponsonby,2024-03-23,1227533.51
Albany,2026-01-29,997729.47
Grey Lynn,2022-10-26,954886.23
Ponsonby,2022-08-12,1288578.4
Grey Lynn,2021-12-25,953627.18
Mount Eden,2025-04-21,939178.82
Mount Eden,2022-04-02,950487.66
Albany,2025-06-28,789592.36
Ponsonby,2023-04-10,1421951.33
Remuera,2021-04-25,4500000.0
Epsom,2021-08-15,837237.23
Epsom,2024-08-30,980898.63
Albany,2023-09-30,745050.2
Albany,2023-07-21,887750.75
Manukau,2024-07-14,962974.19
Albany,2021-12-01,701959.97
Epsom,2024-01-13,926411.74
Albany,2024-07-03,788131.78
Manukau,2025-07-21,1077792.26
Mount Eden,2023-02-13,1019090.8
Remuera,2024-12-12,1836489.42
Albany,2025-08-18,787304.25
Ponsonby,2024-01-16,1473865.79
Manukau,2023-06-22,876410.65
Albany,2022-08-13,829912.1
Manukau,2025-01-14,1160220.39
Ponsonby,2024-06-25,1387248.84
Ponsonby,2024-10-05,1290561.39
Ponsonby,2025-06-08,1347895.41
Albany,2024-08-03,926310.09
Mount Eden,2025-12-30,1073930.14
Mount Eden,2025-02-26,1048618.37
Ponsonby,2024-06-15,1593526.53
Albany,2024-04-02,706325.84
Ponsonby,2024-08-18,1455247.68
Epsom,2024-06-09,917841.92
Epsom,2025-05-23,973905.1
Albany,2021-08-20,627185.24
Epsom,2021-06-03,935929.16
Grey Lynn,2025-06-12,871101.75
Remuera,2021-11-27,1667139.0
Manukau,2024-04-16,1032789.93
Manukau,2022-02-28,910239.96
Albany,2022-06-21,757820.82
Manukau,2021-04-30,859393.07
Ponsonby,2025-02-11,1457314.41
Ponsonby,2025-09-09,1512872.8
Epsom,2023-09-06,1040830.42
Ponsonby,2021-07-05,1223946.51
Grey Lynn,2026-01-20,1066747.25
Ponsonby,2021-08-28,1291532.92
Albany,2024-06-17,689941.29
Ponsonby,2023-02-23,1345023.52
Remuera,2024-05-21,1628614.72
Albany,2024-07-26,922222.94
Remuera,2024-08-05,1658691.25
Manukau,2023-02-21,870628.74
Albany,2021-07-14,702444.91
Epsom,2023-12-28,967778.35
Ponsonby,2024-04-08,1495297.28
Epsom,2025-07-05,1061257.38
Epsom,2021-02-28,808871.09
Remuera,2023-12-31,1808269.23
Grey Lynn,2026-02-09,1190963.99
Mount Eden,2023-02-17,883185.59
Manukau,2025-06-24,945622.79
Epsom,2025-01-27,1059032.4
Remuera,2023-09-24,1653445.32
Ponsonby,2025-07-12,1518342.55
Mount Eden,2023-08-04,877501.44
Albany,2025-02-16,892359.91
Ponsonby,2021-11-22,1202148.16
Mount Eden,2023-05-11,1075608.38
Mount Eden,2022-11-19,818770.1
Ponsonby,2025-10-09,1456666.59
Ponsonby,2023-08-02,1320340.07
Epsom,2022-01-08,768799.42
Albany,2022-02-20,729009.45
Grey Lynn,2023-07-20,928074.61
Ponsonby,2024-02-23,1474497.69
Albany,2023-06-07,708372.4
Epsom,2021-03-31,880116.67
Grey Lynn,2026-01-07,1048611.44
Grey Lynn,2022-06-20,802636.25
Ponsonby,2023-11-03,1586967.31
Albany,2021-03-08,603693.26
Epsom,2023-03-14,983155.62
Ponsonby,2021-07-09,1328121.43
Manukau,2021-09-28,833057.58
Ponsonby,2025-09-27,1583416.21
Epsom,2022-03-25,773256.62
Remuera,2021-03-27,1433996.49
Remuera,2025-07-13,1853560.25
Remuera,2022-05-11,1440882.01
Albany,2021-10-30,457232.39
Manukau,2021-12-09,836878.14
Grey Lynn,2024-06-13,1006974.07
Ponsonby,2025-11-26,1573108.55
Albany,2023-02-26,800754.17
Epsom,2022-04-20,1128445.81
Albany,2022-02-17,753203.02
Ponsonby,2025-05-07,1469542.94
Albany,2022-10-09,674051.99
Ponsonby,2025-03-20,1549414.32
Manukau,2022-08-18,1095992.84
Mount Eden,2023-02-27,958375.08
Epsom,2021-06-15,982352.21
Mount Eden,2022-10-11,958844.32
Ponsonby,2023-04-22,1422960.18
Manukau,2022-03-02,836373.25
Ponsonby,2024-04-29,1226799.72
Mount Eden,2025-01-07,1205748.37
Mount Eden,2025-08-22,1207107.88
Manukau,2025-03-06,1027859.5
Albany,2021-12-24,608141.09
Grey Lynn,2025-03-07,1056962.98
Albany,2025-07-18,1040327.02
Ponsonby,2024-07-24,1360466.93
Epsom,2025-02-20,1046844.27
Mount Eden,2021-08-17,734162.77
Mount Eden,2021-06-10,857168.89
Albany,2025-12-30,1001872.62
Albany,2024-06-09,757726.44
Albany,2025-06-29,790304.01
Mount Eden,2023-11-21,968512.05
Manukau,2023-03-20,947839.55
Mount Eden,2026-02-16,1040972.45
Remuera,2022-06-02,1648768.04
Mount Eden,2022-09-02,1003876.04
Grey Lynn,2025-11-06,1167097.76
Epsom,2023-10-21,1037215.98
Epsom,2023-06-03,1023313.52
Manukau,2025-01-01,1152258.0
Ponsonby,2021-04-23,1091459.68
Grey Lynn,2023-07-04,879148.18
Grey Lynn,2024-11-24,1061729.18
Remuera,2023-01-02,1735058.11
Manukau,2021-11-06,931053.68
Mount Eden,2021-06-21,759496.4
Albany,2025-04-27,915466.02
Remuera,2022-06-23,1709014.79
Grey Lynn,2022-05-08,926944.54
Manukau,2022-03-18,801205.09
Epsom,2025-05-16,997569.05
Manukau,2025-12-06,1267668.08
Grey Lynn,2023-03-31,1094999.95
Epsom,2022-11-09,911296.72
Manukau,2026-01-25,1176335.17
Ponsonby,2023-01-02,1168845.43
Ponsonby,2024-04-09,1280433.84
Mount Eden,2021-10-09,886480.73
Manukau,2022-12-03,962354.37
Remuera,2022-02-27,1389777.86
Remuera,2025-10-14,1696325.39
Grey Lynn,2021-06-11,886451.97
Epsom,2021-12-30,1082426.46
Mount Eden,2023-08-06,927078.07
Remuera,2021-09-28,1570335.1
Albany,2025-02-19,891336.8
Grey Lynn,2021-10-14,702361.58
Mount Eden,2021-10-28,849158.81
Mount Eden,2023-03-26,979026.15
Ponsonby,2023-12-13,1481351.18
Manukau,2024-05-20,858773.07
Epsom,2023-02-20,801783.26
Ponsonby,2024-04-14,1356184.01
Remuera,2021-10-23,1516322.09
Mount Eden,2021-10-14,885789.28
Mount Eden,2025-04-23,926831.16
Epsom,2021-12-17,2750000.0
Mount Eden,2023-01-09,826356.03
Epsom,2024-12-09,1111581.19
Albany,2021-03-30,741127.3
Remuera,2025-09-05,1708147.41
Mount Eden,2025-09-06,1123168.42
Manukau,2025-12-15,1257813.89
Manukau,2022-12-11,1096875.57
Albany,2025-01-18,778174.46
Ponsonby,2024-08-08,1431265.86
Albany,2021-11-17,689275.29
Epsom,2023-10-07,1047152.01
Manukau,2021-03-29,1180944.18
Manukau,2025-01-14,921033.61
Ponsonby,2024-10-06,1537386.5
Grey Lynn,2024-06-23,1039721.15
Manukau,2021-04-09,912546.75
Ponsonby,2025-10-24,1493204.64
Ponsonby,2023-09-20,1277129.28
Remuera,2024-12-01,1660009.45
Manukau,2021-12-22,964461.38
Albany,2022-05-16,625819.56
Remuera,2021-10-11,1806303.07
Epsom,2025-08-07,1119568.7
Remuera,2024-03-23,4500000.0
Grey Lynn,2025-05-29,2750000.0
Manukau,2024-08-24,1077394.68
Mount Eden,2025-08-13,1145949.39
Manukau,2025-06-05,1100076.33
Ponsonby,2023-12-08,1497289.0
Epsom,2024-12-30,1254369.12
Grey Lynn,2026-01-03,1172432.63
Remuera,2025-02-24,1704768.99
Grey Lynn,2022-04-15,885863.84
Epsom,2025-04-01,1039890.96
Epsom,2022-07-14,849179.76
Manukau,2023-06-19,919784.99
Manukau,2021-10-12,812692.38
Ponsonby,2022-09-09,1287298.98
Manukau,2025-03-17,915685.91
Albany,2023-02-15,929777.15
